127.0.0.1 [12/Jun/2014:15:21:28 +0000][182 ms] "GET /component-registry/endpoints/types/sso HTTP/1.1" 404 1099 [tomcat-http--1]
127.0.0.1 [12/Jun/2014:15:21:48 +0000][16 ms] "GET /component-registry/endpoints/types/sso HTTP/1.1" 404 1099 [tomcat-http--2]
127.0.0.1 [12/Jun/2014:15:21:59 +0000][2 ms] "POST /component-registry/api/updates/services/c35a7ba6-26bc-47e2-86e6-ddf9a802baf1/type/com.vmware.cis.core.sso HTTP/1.1" 404 1233 [tomcat-http--3]
127.0.0.1 [12/Jun/2014:15:21:59 +0000][1 ms] "POST /component-registry/api/updates/services/46928bce-ec69-46e2-8e9b-e0c95f914bc6/type/com.vmware.csp.core.cafe.componentregistry HTTP/1.1" 404 1271 [tomcat-http--4]
127.0.0.1 [12/Jun/2014:15:22:04 +0000][199 ms] "GET /component-registry/endpoints/types/sso HTTP/1.1" 200 1859 [tomcat-http--6]
127.0.0.1 [12/Jun/2014:15:22:05 +0000][7 ms] "POST /component-registry/api/updates/services/97b847c1-e8c0-4a18-a3cb-4caf492a00bd/type/com.vmware.csp.cafe.eventlog HTTP/1.1" 204 - [tomcat-http--3]
127.0.0.1 [12/Jun/2014:15:22:05 +0000][1209 ms] "POST /component-registry/services/ HTTP/1.1" 201 - [tomcat-http--5]
127.0.0.1 [12/Jun/2014:15:22:05 +0000][100 ms] "GET /component-registry/services/97b847c1-e8c0-4a18-a3cb-4caf492a00bd HTTP/1.1" 200 2647 [tomcat-http--5]
127.0.0.1 [12/Jun/2014:15:22:08 +0000][60 ms] "GET /component-registry/endpoints/types/sso HTTP/1.1" 200 1859 [tomcat-http--7]
127.0.0.1 [12/Jun/2014:15:22:12 +0000][2 ms] "POST /component-registry/api/updates/services/6a3ae3a2-2d2b-4a42-b4ce-046372701d56/type/com.vmware.vco.o11n HTTP/1.1" 204 - [tomcat-http--3]
127.0.0.1 [12/Jun/2014:15:22:12 +0000][400 ms] "PUT /component-registry/services/6a3ae3a2-2d2b-4a42-b4ce-046372701d56 HTTP/1.1" 201 - [tomcat-http--8]
127.0.0.1 [12/Jun/2014:15:22:12 +0000][517 ms] "POST /component-registry/services/ HTTP/1.1" 201 - [tomcat-http--9]
127.0.0.1 [12/Jun/2014:15:22:12 +0000][18 ms] "POST /component-registry/api/updates/services/aef7bf97-9b5c-4ba9-9363-26a9937342a4/type/com.vmware.csp.core.cafe.identity HTTP/1.1" 204 - [tomcat-http--3]
127.0.0.1 [12/Jun/2014:15:22:12 +0000][10 ms] "POST /eventlog-service/api/updates/services/aef7bf97-9b5c-4ba9-9363-26a9937342a4/type/com.vmware.csp.core.cafe.identity HTTP/1.1" 204 - [tomcat-http--11]
127.0.0.1 [12/Jun/2014:15:22:12 +0000][140 ms] "POST /eventlog-service/api/updates/services/6a3ae3a2-2d2b-4a42-b4ce-046372701d56/type/com.vmware.vco.o11n HTTP/1.1" 204 - [tomcat-http--10]
127.0.0.1 [12/Jun/2014:15:22:12 +0000][119 ms] "GET /component-registry/services/aef7bf97-9b5c-4ba9-9363-26a9937342a4 HTTP/1.1" 200 3101 [tomcat-http--9]
127.0.0.1 [12/Jun/2014:15:22:13 +0000][19 ms] "GET /component-registry/endpoints/types/sso HTTP/1.1" 200 1859 [tomcat-http--12]
127.0.0.1 [12/Jun/2014:15:22:16 +0000][2 ms] "POST /component-registry/api/updates/services/9e4a2642-bc86-466c-91dd-b54b788643af/type/com.vmware.csp.cafe.authorization HTTP/1.1" 204 - [tomcat-http--3]
127.0.0.1 [12/Jun/2014:15:22:16 +0000][332 ms] "POST /component-registry/services/ HTTP/1.1" 201 - [tomcat-http--4]
127.0.0.1 [12/Jun/2014:15:22:16 +0000][7 ms] "POST /eventlog-service/api/updates/services/9e4a2642-bc86-466c-91dd-b54b788643af/type/com.vmware.csp.cafe.authorization HTTP/1.1" 204 - [tomcat-http--10]
127.0.0.1 [12/Jun/2014:15:22:16 +0000][213 ms] "GET /component-registry/services/9e4a2642-bc86-466c-91dd-b54b788643af HTTP/1.1" 200 1666 [tomcat-http--4]
127.0.0.1 [12/Jun/2014:15:22:16 +0000][219 ms] "GET /component-registry/services/9e4a2642-bc86-466c-91dd-b54b788643af HTTP/1.1" 200 1666 [tomcat-http--14]
127.0.0.1 [12/Jun/2014:15:22:16 +0000][2 ms] "POST /component-registry/api/updates/services/29adcb22-521e-4d09-b5c9-01ebfaf6c12f/type/com.vmware.csp.cafe.authentication HTTP/1.1" 204 - [tomcat-http--3]
127.0.0.1 [12/Jun/2014:15:22:16 +0000][1 ms] "POST /eventlog-service/api/updates/services/29adcb22-521e-4d09-b5c9-01ebfaf6c12f/type/com.vmware.csp.cafe.authentication HTTP/1.1" 204 - [tomcat-http--10]
127.0.0.1 [12/Jun/2014:15:22:16 +0000][447 ms] "POST /component-registry/services/ HTTP/1.1" 201 - [tomcat-http--4]
127.0.0.1 [12/Jun/2014:15:22:17 +0000][46 ms] "GET /component-registry/endpoints/types/sso HTTP/1.1" 200 1859 [tomcat-http--12]
127.0.0.1 [12/Jun/2014:15:22:17 +0000][268 ms] "GET /component-registry/services/29adcb22-521e-4d09-b5c9-01ebfaf6c12f HTTP/1.1" 200 2129 [tomcat-http--4]
127.0.0.1 [12/Jun/2014:15:22:17 +0000][168 ms] "GET /component-registry/services/29adcb22-521e-4d09-b5c9-01ebfaf6c12f HTTP/1.1" 200 2129 [tomcat-http--14]
127.0.0.1 [12/Jun/2014:15:22:21 +0000][4353 ms] "POST /identity/api/updates/services/29adcb22-521e-4d09-b5c9-01ebfaf6c12f/type/com.vmware.csp.cafe.authentication HTTP/1.1" 204 - [tomcat-http--15]
127.0.0.1 [12/Jun/2014:15:22:21 +0000][5326 ms] "POST /identity/api/updates/services/9e4a2642-bc86-466c-91dd-b54b788643af/type/com.vmware.csp.cafe.authorization HTTP/1.1" 204 - [tomcat-http--13]
127.0.0.1 [12/Jun/2014:15:23:10 +0000][428 ms] "GET /component-registry/endpoints/types/sso HTTP/1.1" 200 1859 [tomcat-http--16]
127.0.0.1 [12/Jun/2014:15:23:35 +0000][303 ms] "PUT /component-registry/services/962be6e7-4f80-4f36-aa1c-ebea660e2312 HTTP/1.1" 201 - [tomcat-http--17]
127.0.0.1 [12/Jun/2014:15:23:35 +0000][2 ms] "POST /eventlog-service/api/updates/services/962be6e7-4f80-4f36-aa1c-ebea660e2312/type/com.vmware.cafe.samples.travel HTTP/1.1" 204 - [tomcat-http--19]
127.0.0.1 [12/Jun/2014:15:23:35 +0000][27 ms] "POST /component-registry/api/updates/services/962be6e7-4f80-4f36-aa1c-ebea660e2312/type/com.vmware.cafe.samples.travel HTTP/1.1" 204 - [tomcat-http--18]
127.0.0.1 [12/Jun/2014:15:23:35 +0000][310 ms] "GET /component-registry/endpoints/types/com.vmware.csp.cafe.authorization.api/default HTTP/1.1" 200 526 [tomcat-http--17]
127.0.0.1 [12/Jun/2014:15:23:36 +0000][256 ms] "GET /component-registry/services/962be6e7-4f80-4f36-aa1c-ebea660e2312 HTTP/1.1" 200 4408 [tomcat-http--21]
127.0.0.1 [12/Jun/2014:15:23:36 +0000][193 ms] "GET /component-registry/services/9e4a2642-bc86-466c-91dd-b54b788643af/endpoints/com.vmware.csp.core.cafe.service.registry.status HTTP/1.1" 200 530 [tomcat-http--17]
127.0.0.1 [12/Jun/2014:15:23:36 +0000][596 ms] "POST /identity/api/updates/services/962be6e7-4f80-4f36-aa1c-ebea660e2312/type/com.vmware.cafe.samples.travel HTTP/1.1" 204 - [tomcat-http--20]
127.0.0.1 [12/Jun/2014:15:23:37 +0000][435 ms] "GET /identity/api/status HTTP/1.1" 200 1437 [tomcat-http--22]
127.0.0.1 [12/Jun/2014:15:23:38 +0000][918 ms] "PUT /identity/api/authorization/permissions/TRAVELSERVICE_TRAVEL_PACKAGE_VIEW HTTP/1.1" 201 - [tomcat-http--23]
127.0.0.1 [12/Jun/2014:15:23:39 +0000][248 ms] "PUT /identity/api/authorization/permissions/TRAVELSERVICE_TRAVEL_PACKAGE_EDIT HTTP/1.1" 201 - [tomcat-http--23]
127.0.0.1 [12/Jun/2014:15:23:39 +0000][223 ms] "PUT /identity/api/authorization/permissions/TRAVELSERVICE_TRAVEL_RESERVATION HTTP/1.1" 201 - [tomcat-http--23]
127.0.0.1 [12/Jun/2014:15:23:39 +0000][465 ms] "GET /component-registry/services/types/com.vmware.cafe.samples.travel/endpoints/com.vmware.csp.core.cafe.service.resource.bundle?page=1&limit=1 HTTP/1.1" 200 488 [tomcat-http--21]
127.0.0.1 [12/Jun/2014:15:23:39 +0000][244 ms] "PUT /identity/api/authorization/permissions/TRAVELSERVICE_HOTEL_RESERVATION HTTP/1.1" 201 - [tomcat-http--23]
127.0.0.1 [12/Jun/2014:15:23:40 +0000][349 ms] "GET /component-registry/endpoints/682d8fa1-998c-4e44-914c-2bd76890aaaa HTTP/1.1" 200 539 [tomcat-http--21]
127.0.0.1 [12/Jun/2014:15:23:40 +0000][676 ms] "PUT /identity/api/authorization/permissions/TRAVELSERVICE_WORKAREA_RESERVATION HTTP/1.1" 201 - [tomcat-http--23]
127.0.0.1 [12/Jun/2014:15:23:40 +0000][209 ms] "PUT /identity/api/authorization/permissions/TRAVELSERVICE_PREFERENCES HTTP/1.1" 201 - [tomcat-http--23]
127.0.0.1 [12/Jun/2014:15:23:41 +0000][410 ms] "PUT /identity/api/authorization/roles/extensions/TRAVELSERVICE_CONSUMER HTTP/1.1" 201 - [tomcat-http--23]
127.0.0.1 [12/Jun/2014:15:23:41 +0000][43 ms] "GET /component-registry/endpoints/types/sso HTTP/1.1" 200 1859 [tomcat-http--24]
127.0.0.1 [12/Jun/2014:15:23:41 +0000][273 ms] "PUT /identity/api/authorization/roles/extensions/TRAVELSERVICE_AUTHOR HTTP/1.1" 201 - [tomcat-http--23]
127.0.0.1 [12/Jun/2014:15:23:41 +0000][220 ms] "PUT /identity/api/authorization/roles/extensions/TRAVELSERVICE_ADMIN HTTP/1.1" 201 - [tomcat-http--23]
127.0.0.1 [12/Jun/2014:15:23:41 +0000][177 ms] "GET /component-registry/endpoints/types/com.vmware.csp.core.cafe.workitem.api/default HTTP/1.1" 404 - [tomcat-http--17]
127.0.0.1 [12/Jun/2014:15:23:44 +0000][2638 ms] "GET /travel/apps/bundles/i18n.zip HTTP/1.1" 200 21956 [tomcat-http--25]
127.0.0.1 [12/Jun/2014:15:23:52 +0000][17 ms] "GET /component-registry/endpoints/types/sso HTTP/1.1" 200 1859 [tomcat-http--26]
127.0.0.1 [12/Jun/2014:15:23:56 +0000][244 ms] "PUT /component-registry/services/6a3ae3a2-2d2b-4a42-b4ce-046372701d56 HTTP/1.1" 204 - [tomcat-http--27]
127.0.0.1 [12/Jun/2014:15:23:56 +0000][3 ms] "POST /component-registry/api/updates/services/6a3ae3a2-2d2b-4a42-b4ce-046372701d56/type/com.vmware.vco.o11n HTTP/1.1" 204 - [tomcat-http--28]
127.0.0.1 [12/Jun/2014:15:23:56 +0000][1 ms] "POST /eventlog-service/api/updates/services/6a3ae3a2-2d2b-4a42-b4ce-046372701d56/type/com.vmware.vco.o11n HTTP/1.1" 204 - [tomcat-http--29]
127.0.0.1 [12/Jun/2014:15:23:56 +0000][127 ms] "GET /component-registry/services/6a3ae3a2-2d2b-4a42-b4ce-046372701d56 HTTP/1.1" 200 2618 [tomcat-http--25]
